category_code_range,category_name,subcategory_name,icd10_code,icd10_label,is_common
C00-C97,Κακοήθη νεοπλάσματα,Στόμα-Χείλος-Φάρυγγας,C00,Κακοήθες νεόπλασμα χείλους,TRUE
C00-C97,Κακοήθη νεοπλάσματα,Στόμα-Χείλος-Φάρυγγας,C01,Κακοήθες νεόπλασμα βάσης γλώσσας,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Στόμα-Χείλος-Φάρυγγας,C02,Κακοήθες νεόπλασμα άλλων και μη καθορισμένων τμημάτων γλώσσας,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Στόμα-Χείλος-Φάρυγγας,C03,Κακοήθες νεόπλασμα ούλων,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Στόμα-Χείλος-Φάρυγγας,C04,Κακοήθες νεόπλασμα δαπέδου στόματος,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Στόμα-Χείλος-Φάρυγγας,C05,Κακοήθες νεόπλασμα υπερώας,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Στόμα-Χείλος-Φάρυγγας,C06,Κακοήθες νεόπλασμα άλλων και μη καθορισμένων τμημάτων στόματος,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Στόμα-Χείλος-Φάρυγγας,C07,Κακοήθες νεόπλασμα παρωτίδας,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Στόμα-Χείλος-Φάρυγγας,C08,Κακοήθες νεόπλασμα άλλων και μη καθορισμένων μεγάλων σιελογόνων αδένων,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Στόμα-Χείλος-Φάρυγγας,C09,Κακοήθες νεόπλασμα αμυγδαλής,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Στόμα-Χείλος-Φάρυγγας,C10,Κακοήθες νεόπλασμα ρινοφάρυγγα,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Στόμα-Χείλος-Φάρυγγας,C11,Κακοήθες νεόπλασμα ρινοφάρυγγα,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Στόμα-Χείλος-Φάρυγγας,C12,Κακοήθες νεόπλασμα υπογλωσσίου κόλπου,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Στόμα-Χείλος-Φάρυγγας,C13,Κακοήθες νεόπλασμα υποφάρυγγα,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Στόμα-Χείλος-Φάρυγγας,C14,Κακοήθες νεόπλασμα άλλων και ασαφώς καθορισμένων εντοπίσεων χείλους στοματικής κοιλότητας και φάρυγγα,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Πεπτικό,C15,Οισοφάγου,TRUE
C00-C97,Κακοήθη νεοπλάσματα,Πεπτικό,C16,Στομάχου,TRUE
C00-C97,Κακοήθη νεοπλάσματα,Πεπτικό,C17,Λεπτού εντέρου,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Πεπτικό,C18,Παχέος εντέρου [κόλου],TRUE
C00-C97,Κακοήθη νεοπλάσματα,Πεπτικό,C19,Ορθοσιγμοειδούς συμβολής,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Πεπτικό,C20,Ορθού,TRUE
C00-C97,Κακοήθη νεοπλάσματα,Πεπτικό,C21,Πρωκτού και πρωκτικού σωλήνα,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Πεπτικό,C22,Ηπατος και ενδοηπατικών χοληφόρων πόρων,TRUE
C00-C97,Κακοήθη νεοπλάσματα,Πεπτικό,C23,Χοληδόχου κύστης,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Πεπτικό,C24,’λλων και μη καθορισμένων τμημάτων χοληφόρων πόρων,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Πεπτικό,C25,Παγκρέατος,TRUE
C00-C97,Κακοήθη νεοπλάσματα,Πεπτικό,C26,’λλων και ασαφώς καθορισμένων οργάνων πεπτικού,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Αναπνευστικό,C30,Κοιλότητας ρινός και μέσου ωτός,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Αναπνευστικό,C31,Παραρρινίων κόλπων,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Αναπνευστικό,C32,Λάρυγγα,TRUE
C00-C97,Κακοήθη νεοπλάσματα,Αναπνευστικό,C33,Τραχείας,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Αναπνευστικό,C34,Βρόγχου και πνεύμονα,TRUE
C00-C97,Κακοήθη νεοπλάσματα,Αναπνευστικό,C37,Θύμου,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Αναπνευστικό,C38,Καρδιάς μεσοπλευρίου και υπεζωκότα,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Αναπνευστικό,C39,’λλων και ασαφώς καθορισμένων εντοπίσεων αναπνευστικού και ενδοθωρακικών οργάνων,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Οστά-Δέρμα,C40,Οστών άκρων,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Οστά-Δέρμα,C41,Οστών και αρθρικών χόνδρων άλλων και μη καθορισμένων εντοπίσεων,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Οστά-Δέρμα,C43,Κακόηθες μελάνωμα δέρματος,TRUE
C00-C97,Κακοήθη νεοπλάσματα,Οστά-Δέρμα,C44,’λλα δέρματος,TRUE
