aa,Δήμος (σχ. Καλλικράτης),Περιφεριακή Ενότητα,Περιφέρεια,#
1,ΔΟΞΑΤΟΥ,ΔΡΑΜΑΣ,ΑΝ. ΜΑΚ.-ΘΡΑΚΗΣ,1
2,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,ΑΝ. ΜΑΚ.-ΘΡΑΚΗΣ,1
3,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,ΔΡΑΜΑΣ,ΑΝ. ΜΑΚ.-ΘΡΑΚΗΣ,1
4,ΠΑΡΑΝΕΣΤΙΟΥ,ΔΡΑΜΑΣ,ΑΝ. ΜΑΚ.-ΘΡΑΚΗΣ,1
5,ΠΡΟΣΟΤΣΑΝΗΣ,ΔΡΑΜΑΣ,ΑΝ. ΜΑΚ.-ΘΡΑΚΗΣ,1
6,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,ΕΒΡΟΥ,ΑΝ. ΜΑΚ.-ΘΡΑΚΗΣ,1
7,ΔΙΔΥΜΟΤΕΙΧΟΥ,ΕΒΡΟΥ,ΑΝ. ΜΑΚ.-ΘΡΑΚΗΣ,1
8,ΟΡΕΣΤΙΑΔΑΣ,ΕΒΡΟΥ,ΑΝ. ΜΑΚ.-ΘΡΑΚΗΣ,1
9,ΣΑΜΟΘΡΑΚΗΣ,ΕΒΡΟΥ,ΑΝ. ΜΑΚ.-ΘΡΑΚΗΣ,1
10,ΣΟΥΦΛΙΟΥ,ΕΒΡΟΥ,ΑΝ. ΜΑΚ.-ΘΡΑΚΗΣ,1
11,ΘΑΣΟΥ,ΘΑΣΟΥ,ΑΝ. ΜΑΚ.-ΘΡΑΚΗΣ,1
12,ΚΑΒΑΛΑΣ,ΚΑΒΑΛΑΣ,ΑΝ. ΜΑΚ.-ΘΡΑΚΗΣ,1
13,ΝΕΣΤΟΥ,ΚΑΒΑΛΑΣ,ΑΝ. ΜΑΚ.-ΘΡΑΚΗΣ,1
14,ΠΑΓΓΑΙΟΥ,ΚΑΒΑΛΑΣ,ΑΝ. ΜΑΚ.-ΘΡΑΚΗΣ,1
15,ΑΒΔΗΡΩΝ,ΞΑΝΘΗΣ,ΑΝ. ΜΑΚ.-ΘΡΑΚΗΣ,1
16,ΜΥΚΗΣ,ΞΑΝΘΗΣ,ΑΝ. ΜΑΚ.-ΘΡΑΚΗΣ,1
17,ΞΑΝΘΗΣ,ΞΑΝΘΗΣ,ΑΝ. ΜΑΚ.-ΘΡΑΚΗΣ,1
18,ΤΟΠΕΙΡΟΥ,ΞΑΝΘΗΣ,ΑΝ. ΜΑΚ.-ΘΡΑΚΗΣ,1
19,ΑΡΡΙΑΝΩΝ,ΡΟΔΟΠΗΣ,ΑΝ. ΜΑΚ.-ΘΡΑΚΗΣ,1
20,ΙΑΣΜΟΥ,ΡΟΔΟΠΗΣ,ΑΝ. ΜΑΚ.-ΘΡΑΚΗΣ,1
21,ΚΟΜΟΤΗΝΗΣ,ΡΟΔΟΠΗΣ,ΑΝ. ΜΑΚ.-ΘΡΑΚΗΣ,1
22,ΜΑΡΩΝΕΙΑΣ-ΣΑΠΩΝ,ΡΟΔΟΠΗΣ,ΑΝ. ΜΑΚ.-ΘΡΑΚΗΣ,1
23,ΑΛΕΞΑΝΔΡΕΙΑΣ,ΗΜΑΘΙΑΣ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
24,ΒΕΡΟΙΑΣ,ΗΜΑΘΙΑΣ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
25,ΝΑΟΥΣΑΣ,ΗΜΑΘΙΑΣ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
26,ΑΜΠΕΛΟΚΗΠΩΝ-ΜΕΝΕΜΕΝΗΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
27,ΒΟΛΒΗΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
28,ΔΕΛΤΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
29,ΘΕΡΜΑΪΚΟΥ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
30,ΘΕΡΜΗΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
31,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
32,ΚΑΛΑΜΑΡΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
33,ΚΟΡΔΕΛΙΟΥ-ΕΥΟΣΜΟΥ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
34,ΛΑΓΚΑΔΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
35,ΝΕΑΠΟΛΗΣ-ΣΥΚΕΩΝ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
36,ΠΑΥΛΟΥ ΜΕΛΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
37,ΠΥΛΑΙΑΣ-ΧΟΡΤΙΑΤΗ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
38,ΧΑΛΚΗΔΟΝΟΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
39,ΩΡΑΙΟΚΑΣΤΡΟΥ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
40,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
41,ΠΑΙΟΝΙΑΣ,ΚΙΛΚΙΣ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
42,ΑΛΜΩΠΙΑΣ,ΠΕΛΛΑΣ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
43,ΕΔΕΣΣΑΣ,ΠΕΛΛΑΣ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
44,ΠΕΛΛΑΣ,ΠΕΛΛΑΣ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
45,ΣΚΥΔΡΑΣ,ΠΕΛΛΑΣ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
46,ΔΙΟΥ-ΟΛΥΜΠΟΥ,ΠΙΕΡΙΑΣ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
47,ΚΑΤΕΡΙΝΗΣ,ΠΙΕΡΙΑΣ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
48,ΠΥΔΝΑΣ-ΚΟΛΙΝΔΡΟΥ,ΠΙΕΡΙΑΣ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
